qid,fm_video,question_type,sampling,binary_no_score,binary_yes_score,question
33,16_C,rate,uniform,,,"Assess the left video's maximal shoulder flexion relative to the right video. Rate 1 (performed partially) or 2 (shoulder fully raised to 180 degrees, relative to the right video). Answer directly."
34,17_I,binary,uniform,0,,"Is the shoulder flexed between 30-90 degrees at onset? Answer 'Yes' or 'No' directly."
35,17_I,binary,uniform,0,,"Is the elbow fully extended (0 degrees) at onset? Answer 'Yes' or 'No' directly."
36,17_I,binary,uniform,,1,"After beginning to move, does the patient abduct their shoulders? Answer 'Yes' or 'No' directly."
37,17_I,binary,uniform,,1,"After beginning to move, does the patient flex their elbow? Answer 'Yes' or 'No' directly."
38,17_C,rate,uniform,,,"Assess the left video's maximal forearm pronation-supination relative to the right video. Rate 1 (performed partially) or 2 (full pronation-supination with steady control, relative to the right video). Answer directly."
39,19_I,binary,uniform,0,,"Is the shoulder neutral at onset? Answer 'Yes' or 'No' directly."
40,19_I,binary,uniform,0,,"Is the elbow flexed to 90 degrees at onset? Answer 'Yes' or 'No' directly."
41,19_I,binary,uniform,0,,"Is the forearm pronated at onset? Answer 'Yes' or 'No' directly."
42,19_I,binary,uniform,0,,"Is the wrist extended to >=15 degrees at onset? Answer 'Yes' or 'No' directly."
43,19_I,binary,uniform,1,,"After resistance is applied, does the patient keep their shoulder neutral? Answer 'Yes' or 'No' directly."
44,19_I,binary,uniform,1,,"After resistance is applied, does the patient keep their elbow flexed to 90 degrees? Answer 'Yes' or 'No' directly."
45,19_I,binary,uniform,1,,"After resistance is applied, does the patient keep their forearm pronated? Answer 'Yes' or 'No' directly."
46,19_I,binary,uniform,1,,"After resistance is applied, does the patient keep their wrist extended to >=15 degrees? Answer 'Yes' or 'No' directly."
47,19_C,rate,uniform,,,"Rate the left video's wrist stability relative to the right video. Rate 1 (no resistance or deviation after resistance) or 2 (maintains position with resistance). Answer directly."
48,20_I,binary,uniform,0,,"Is the shoulder neutral at onset? Answer 'Yes' or 'No' directly."
49,20_I,binary,uniform,0,,"Is the elbow flexed to 90 degrees at onset? Answer 'Yes' or 'No' directly."
50,20_I,binary,uniform,0,,"Is the forearm pronated at onset? Answer 'Yes' or 'No' directly."
51,20_I,binary,uniform,0,,"Is the patient able to move their wrist? Answer 'Yes' or 'No' directly."
52,20_I,binary,uniform,1,,"After beginning to move, does the patient keep their shoulder neutral? Answer 'Yes' or 'No' directly."
53,20_I,binary,uniform,1,,"After beginning to move, does the patient keep their elbow flexed to 90 degrees? Answer 'Yes' or 'No' directly."
54,20_I,binary,uniform,1,,"After beginning to move, does the patient keep their forearm pronated? Answer 'Yes' or 'No' directly."
55,20_C,rate,uniform,,,"Rate the left video's wrist range of motion relative to the right video. Rate 1 (partial range) or 2 (full range of motion, relative to the right video). Answer directly."
56,21_I,binary,uniform,0,,"Is the shoulder flexed 30-90 degrees at onset? Answer 'Yes' or 'No' directly."
57,21_I,binary,uniform,0,,"Is the elbow fully extended (0 degrees) at onset? Answer 'Yes' or 'No' directly."
58,21_I,binary,uniform,0,,"Is the forearm pronated at onset? Answer 'Yes' or 'No' directly."
59,21_I,binary,uniform,0,,"Is the wrist extended to >=15 degrees at onset? Answer 'Yes' or 'No' directly."
60,21_I,binary,uniform,1,,"After resistance is applied, does the patient keep their shoulder flexed 30-90 degrees? Answer 'Yes' or 'No' directly."
61,21_I,binary,uniform,1,,"After resistance is applied, does the patient keep their elbow fully extended (0 degrees)? Answer 'Yes' or 'No' directly."
62,21_I,binary,uniform,1,,"After resistance is applied, does the patient keep their forearm pronated? Answer 'Yes' or 'No' directly."
63,21_I,binary,uniform,1,,"After resistance is applied, does the patient keep their wrist extended to >=15 degrees? Answer 'Yes' or 'No' directly."
64,21_C,rate,uniform,,,"Rate the left video's wrist stability relative to the right video. Rate 1 (no resistance or deviation after resistance) or 2 (maintains position with resistance). Answer directly."
65,22_I,binary,uniform,0,,"Is the shoulder flexed 30-90 degrees at onset? Answer 'Yes' or 'No' directly."
66,22_I,binary,uniform,0,,"Is the elbow fully extended (0 degrees) at onset? Answer 'Yes' or 'No' directly."
67,22_I,binary,uniform,0,,"Is the forearm pronated at onset? Answer 'Yes' or 'No' directly."
68,22_I,binary,uniform,0,,"Is the patient able to move their wrist? Answer 'Yes' or 'No' directly."
69,22_I,binary,uniform,1,,"After beginning to move, does the patient keep their shoulder flexed 30-90 degrees? Answer 'Yes' or 'No' directly."
70,22_I,binary,uniform,1,,"After beginning to move, does the patient keep their elbow fully extended (0 degrees)? Answer 'Yes' or 'No' directly."
71,22_I,binary,uniform,1,,"After beginning to move, does the patient keep their forearm pronated? Answer 'Yes' or 'No' directly."
72,22_C,rate,uniform,,,"Rate the left video's wrist range of motion relative to the right video. Rate 1 (partial range) or 2 (full range of motion, relative to the right video). Answer directly."
73,23_I,binary,uniform,0,,"Is the shoulder flexed 30-90 degrees at onset? Answer 'Yes' or 'No' directly."
74,23_I,binary,uniform,0,,"Is the elbow fully extended (0 degrees) at onset? Answer 'Yes' or 'No' directly."
75,23_I,binary,uniform,0,,"Is the forearm pronated at onset? Answer 'Yes' or 'No' directly."
76,23_I,binary,uniform,1,,"After beginning to move, does the patient keep their shoulder flexed 30-90 degrees? Answer 'Yes' or 'No' directly."
77,23_I,binary,uniform,1,,"After beginning to move, does the patient keep their elbow fully extended (0 degrees)? Answer 'Yes' or 'No' directly."
78,23_I,binary,uniform,1,,"After beginning to move, does the patient keep their forearm pronated? Answer 'Yes' or 'No' directly."
79,23_C,rate,uniform,,,"Rate the left video's wrist circumduction relative to the right video. Rate 1 (incomplete or not smooth movement, relative to the right video) or 2 (complete and smooth movement, relative to the right video). Answer directly."
80,24_C,rate,uniform,,,"Assess the left video's maximal finger mass flexion relative to the right video. Rate as follows: 0 (no active finger flexion), 1 (partial flexion), or 2 (full flexion >= 90 degrees with thumb pad contacting top of fingers, comparable to the right video). Answer directly."
81,25_C,rate,uniform,,,"Assess the left video's maximal finger mass extension relative to the right video. Rate as follows: 0 (no active finger extension), 1 (partial extension), or 2 (full extension to 0 degrees, comparable to the right video). Answer directly."
82,26_I,binary,uniform,0,,"Can the patient attain the distal part of their fingers flexed to >= 45 degrees at onset? Answer 'Yes' or 'No' directly."
83,26_I,binary,uniform,0,,"Can the patient attain the proximal part of their fingers extended to 0 degrees at onset? Answer 'Yes' or 'No' directly."
84,26_I,rate,uniform,,,"Can the patient hold the hook grasp against resistance? If so, answer '2'. If not, answer '1'."
85,27_I,binary,uniform,0,,"Can the patient grasp the paper between their thumb and index finger? Answer 'Yes' or 'No' directly."
86,27_I,binary,uniform,0,,"Can the patient extend their fingers to 0 degrees? Answer 'Yes' or 'No' directly."
87,27_I,binary,uniform,0,,"Does the thumb flex with a tug? Answer 'Yes' or 'No' directly."
88,27_I,rate,uniform,,,"Can the patient hold the paper against a tug? If so, answer '2'. If not, answer '1'."
89,28_I,binary,uniform,0,,"Can the patient hold the pencil between the pads of their thumb and index fingers? Answer 'Yes' or 'No' directly."
90,28_I,rate,uniform,,,"Can the patient hold the pencil against a tug? If so, answer '2'. If not, answer '1'."
91,29_I,binary,uniform,0,,"Can the patient grasp the cylinder at the base with their thumb and index fingers? Answer 'Yes' or 'No' directly."
92,29_I,rate,uniform,,,"Can the patient hold the cylinder against a tug? If so, answer '2'. If not, answer '1'."
93,30_I,binary,uniform,0,,"Can the patient grasp the ball in an abducted and flexed position? Answer 'Yes' or 'No' directly."
94,30_I,rate,uniform,,,"Can the patient hold the ball against a tug? If so, answer '2'. If not, answer '1'."
95,31_I,rate,dense,,,"Assess the patient's tremor (oscillations during movement). Rate as follows: 0 (tremor throughout movement that significantly affects trajectory), 1 (tremor throughout movement that does not significantly affect trajectory), or 2 (no tremor OR unable to move). Answer directly."
96,32_I,rate,dense,,,"Assess the patient's dysmetria (error in endpoint, misses the endpoint). Rate as follows: 0 (pronounced and random dysmetria), 1 (slight and systematic dysmetria), or 2 (no dysmetria OR unable to move). Answer directly."
97,33_I,count,dense,,,"How many times did the patient touch their knee? Output just the number directly."
98,33_I,count,dense,,,"How many times did the patient touch their nose? Output just the number directly."
99,33_O,count,dense,,,"How many times did the patient touch their knee? Output just the number directly."
100,33_O,count,dense,,,"How many times did the patient touch their nose? Output just the number directly."
